Country ISO3,Year,Indicator Code,Value
HUN,1990,PA.NUS.ATLS,63.205
HUN,1989,PA.NUS.ATLS,59.0667
HUN,1988,PA.NUS.ATLS,50.4142
HUN,1987,PA.NUS.ATLS,46.9717
HUN,1986,PA.NUS.ATLS,45.8325
HUN,1985,PA.NUS.ATLS,50.1208
HUN,1984,PA.NUS.ATLS,48.0425
HUN,1983,PA.NUS.ATLS,42.6708
HUN,1982,PA.NUS.ATLS,36.6317
HUN,1981,PA.NUS.ATLS,34.315
HUN,1980,PA.NUS.ATLS,32.5325
HUN,1979,PA.NUS.ATLS,35.58
HUN,1978,PA.NUS.ATLS,37.9117
HUN,1977,PA.NUS.ATLS,40.9617
HUN,1976,PA.NUS.ATLS,41.575
HUN,1975,PA.NUS.ATLS,43.9733
HUN,1974,PA.NUS.ATLS,46.75
HUN,1973,PA.NUS.ATLS,48.9658
HUN,1972,PA.NUS.ATLS,55.259999999
HUN,1971,PA.NUS.ATLS,59.8217
HUN,1970,PA.NUS.ATLS,59.999999999
HUN,1969,PA.NUS.ATLS,59.999999999
HUN,1968,PA.NUS.ATLS,59.999999999
HUN,2022,PA.NUS.PPP,164.158043
HUN,2021,PA.NUS.PPP,154.748155
HUN,2020,PA.NUS.PPP,145.351046
HUN,2019,PA.NUS.PPP,140.828438
HUN,2018,PA.NUS.PPP,139.092451
HUN,2017,PA.NUS.PPP,136.036522
HUN,2016,PA.NUS.PPP,132.033797
HUN,2015,PA.NUS.PPP,132.55351
HUN,2014,PA.NUS.PPP,129.414974
HUN,2013,PA.NUS.PPP,124.979432
HUN,2012,PA.NUS.PPP,125.623608
HUN,2011,PA.NUS.PPP,124.271836
HUN,2010,PA.NUS.PPP,126.417091
HUN,2009,PA.NUS.PPP,127.688976
HUN,2008,PA.NUS.PPP,131.005355
HUN,2007,PA.NUS.PPP,134.049856
HUN,2006,PA.NUS.PPP,131.499035
HUN,2005,PA.NUS.PPP,130.929945
HUN,2004,PA.NUS.PPP,128.381274
HUN,2003,PA.NUS.PPP,122.00604
HUN,2002,PA.NUS.PPP,118.141282
HUN,2001,PA.NUS.PPP,114.418258
HUN,2000,PA.NUS.PPP,110.065369
HUN,1999,PA.NUS.PPP,104.545883
HUN,1998,PA.NUS.PPP,97.820116
HUN,1997,PA.NUS.PPP,87.382509
HUN,1996,PA.NUS.PPP,73.857064
HUN,1995,PA.NUS.PPP,61.469051
HUN,1994,PA.NUS.PPP,49.519935
HUN,1993,PA.NUS.PPP,42.327348
HUN,1992,PA.NUS.PPP,35.728232
HUN,1991,PA.NUS.PPP,30.073818
